symbol,interval,bar_open_time,bar_close_time,open,high,low,close,volume,quote_volume,trade_count,source
BTCUSDT,4h,2026-06-01T00:00:00Z,2026-06-01T03:59:59.999000Z,73674.39000000,74092.00000000,73222.00000000,73769.06000000,1797.97503000,132503071.00444900,517267,binance_spot_rest
BTCUSDT,4h,2026-06-01T04:00:00Z,2026-06-01T07:59:59.999000Z,73769.06000000,73841.37000000,72704.00000000,72818.00000000,2313.77580000,169351798.37912210,519944,binance_spot_rest
BTCUSDT,4h,2026-06-01T08:00:00Z,2026-06-01T11:59:59.999000Z,72818.00000000,73095.64000000,72290.00000000,72479.99000000,4064.81004000,295822836.11862430,494971,binance_spot_rest
BTCUSDT,4h,2026-06-01T12:00:00Z,2026-06-01T15:59:59.999000Z,72480.00000000,72610.00000000,71066.33000000,71129.62000000,8608.45364000,617467508.61049070,1508444,binance_spot_rest
BTCUSDT,4h,2026-06-01T16:00:00Z,2026-06-01T19:59:59.999000Z,71129.62000000,71800.73000000,70686.68000000,71595.24000000,4920.23395000,350869050.87428940,715031,binance_spot_rest
BTCUSDT,4h,2026-06-01T20:00:00Z,2026-06-01T23:59:59.999000Z,71595.24000000,71690.00000000,70840.90000000,71408.90000000,2215.84338000,157944073.69590210,482116,binance_spot_rest
BTCUSDT,4h,2026-06-02T00:00:00Z,2026-06-02T03:59:59.999000Z,71408.90000000,71408.90000000,70111.00000000,70953.69000000,3525.64758000,249850079.24951260,740992,binance_spot_rest
BTCUSDT,4h,2026-06-02T04:00:00Z,2026-06-02T07:59:59.999000Z,70953.70000000,71048.00000000,69733.00000000,70118.42000000,4217.43297000,296424153.23844710,754037,binance_spot_rest
BTCUSDT,4h,2026-06-02T08:00:00Z,2026-06-02T11:59:59.999000Z,70118.42000000,70172.00000000,69324.65000000,69461.72000000,3766.33037000,262275224.72913900,710514,binance_spot_rest
BTCUSDT,4h,2026-06-02T12:00:00Z,2026-06-02T15:59:59.999000Z,69461.73000000,69548.13000000,67076.00000000,67304.28000000,9534.68154000,651185416.47911890,1597097,binance_spot_rest
BTCUSDT,4h,2026-06-02T16:00:00Z,2026-06-02T19:59:59.999000Z,67304.29000000,68146.30000000,66432.00000000,67315.14000000,5955.13830000,401049257.91148170,1144705,binance_spot_rest
BTCUSDT,4h,2026-06-02T20:00:00Z,2026-06-02T23:59:59.999000Z,67315.14000000,67923.24000000,66193.00000000,66760.83000000,5858.96510000,392564446.37542870,1303332,binance_spot_rest
BTCUSDT,4h,2026-06-03T00:00:00Z,2026-06-03T03:59:59.999000Z,66760.84000000,67204.15000000,65426.34000000,65849.90000000,5876.92165000,390273983.92057260,1076017,binance_spot_rest
BTCUSDT,4h,2026-06-03T04:00:00Z,2026-06-03T07:59:59.999000Z,65849.90000000,67516.00000000,65834.00000000,67220.03000000,5699.32885000,381781195.60465460,994422,binance_spot_rest
BTCUSDT,4h,2026-06-03T08:00:00Z,2026-06-03T11:59:59.999000Z,67220.03000000,67476.69000000,66656.48000000,67067.37000000,3840.69634000,257706709.99166570,737079,binance_spot_rest
BTCUSDT,4h,2026-06-03T12:00:00Z,2026-06-03T15:59:59.999000Z,67067.37000000,67244.62000000,66076.00000000,66076.01000000,4537.71513000,302861716.07437450,1390646,binance_spot_rest
BTCUSDT,4h,2026-06-03T16:00:00Z,2026-06-03T19:59:59.999000Z,66076.01000000,66373.18000000,65251.00000000,65462.00000000,4242.73831000,279402457.33799470,1109866,binance_spot_rest
BTCUSDT,4h,2026-06-03T20:00:00Z,2026-06-03T23:59:59.999000Z,65461.99000000,65860.00000000,64092.49000000,64142.75000000,5940.90622000,386323918.96368170,1368328,binance_spot_rest
BTCUSDT,4h,2026-06-04T00:00:00Z,2026-06-04T03:59:59.999000Z,64142.75000000,64540.30000000,61383.56000000,64363.49000000,16957.23407000,1069265096.35938560,2410925,binance_spot_rest
BTCUSDT,4h,2026-06-04T04:00:00Z,2026-06-04T07:59:59.999000Z,64363.49000000,64764.32000000,63492.89000000,63603.15000000,5000.68767000,320591861.74564760,1036545,binance_spot_rest
BTCUSDT,4h,2026-06-04T08:00:00Z,2026-06-04T11:59:59.999000Z,63603.15000000,63904.63000000,62205.00000000,62545.99000000,8595.49118000,540467807.65211300,1698955,binance_spot_rest
BTCUSDT,4h,2026-06-04T12:00:00Z,2026-06-04T15:59:59.999000Z,62546.00000000,64494.92000000,62392.00000000,63896.17000000,6185.98937000,394325488.19609960,1831681,binance_spot_rest
BTCUSDT,4h,2026-06-04T16:00:00Z,2026-06-04T19:59:59.999000Z,63896.16000000,64163.93000000,62944.91000000,63629.38000000,3723.72569000,236942600.73557610,1155303,binance_spot_rest
BTCUSDT,4h,2026-06-04T20:00:00Z,2026-06-04T23:59:59.999000Z,63629.38000000,63918.00000000,63106.04000000,63885.99000000,3114.04773000,197756878.80056130,924567,binance_spot_rest
BTCUSDT,4h,2026-06-05T00:00:00Z,2026-06-05T03:59:59.999000Z,63885.99000000,63978.00000000,62339.00000000,62730.00000000,4162.99809000,262536010.14096020,1225987,binance_spot_rest
BTCUSDT,4h,2026-06-05T04:00:00Z,2026-06-05T07:59:59.999000Z,62730.00000000,63688.00000000,61126.01000000,63115.99000000,10733.42354000,668376397.06524080,2270535,binance_spot_rest
BTCUSDT,4h,2026-06-05T08:00:00Z,2026-06-05T11:59:59.999000Z,63115.99000000,63259.90000000,61964.98000000,61964.99000000,4297.16406000,269110992.15668040,1142388,binance_spot_rest
BTCUSDT,4h,2026-06-05T12:00:00Z,2026-06-05T15:59:59.999000Z,61964.99000000,62457.86000000,60000.00000000,60438.01000000,14801.01342000,903329435.95028030,2679839,binance_spot_rest
BTCUSDT,4h,2026-06-05T16:00:00Z,2026-06-05T19:59:59.999000Z,60438.00000000,61547.24000000,59130.91000000,60300.24000000,13747.59231000,828648361.47734000,2680737,binance_spot_rest
BTCUSDT,4h,2026-06-05T20:00:00Z,2026-06-05T23:59:59.999000Z,60300.24000000,62000.00000000,59940.01000000,61056.47000000,7285.09665000,447020553.71282630,1659370,binance_spot_rest
BTCUSDT,4h,2026-06-06T00:00:00Z,2026-06-06T03:59:59.999000Z,61056.47000000,61530.05000000,60520.00000000,60687.04000000,2945.07914000,179762223.67041870,973252,binance_spot_rest
BTCUSDT,4h,2026-06-06T04:00:00Z,2026-06-06T07:59:59.999000Z,60687.05000000,61276.95000000,59500.00000000,61004.95000000,7062.57386000,427756115.83259640,1567097,binance_spot_rest
BTCUSDT,4h,2026-06-06T08:00:00Z,2026-06-06T11:59:59.999000Z,61004.95000000,61500.00000000,60198.00000000,60802.91000000,3473.55766000,211333241.02873740,817667,binance_spot_rest
BTCUSDT,4h,2026-06-06T12:00:00Z,2026-06-06T15:59:59.999000Z,60802.90000000,61185.26000000,60396.00000000,60784.00000000,2291.49519000,139417012.27244890,717560,binance_spot_rest
BTCUSDT,4h,2026-06-06T16:00:00Z,2026-06-06T19:59:59.999000Z,60784.01000000,60971.24000000,60393.96000000,60600.01000000,2446.99506000,148359633.57654300,534622,binance_spot_rest
BTCUSDT,4h,2026-06-06T20:00:00Z,2026-06-06T23:59:59.999000Z,60600.00000000,61000.00000000,60429.09000000,60884.62000000,1575.88786000,95697732.08748910,390676,binance_spot_rest
BTCUSDT,4h,2026-06-07T00:00:00Z,2026-06-07T03:59:59.999000Z,60884.62000000,61778.33000000,60746.00000000,61701.07000000,2959.18911000,181385716.20304780,709548,binance_spot_rest
BTCUSDT,4h,2026-06-07T04:00:00Z,2026-06-07T07:59:59.999000Z,61701.06000000,62416.26000000,61482.46000000,62404.73000000,4903.20395000,304023070.16938830,740026,binance_spot_rest
BTCUSDT,4h,2026-06-07T08:00:00Z,2026-06-07T11:59:59.999000Z,62404.72000000,62960.00000000,62259.37000000,62621.96000000,4723.06235000,295560305.07869090,725358,binance_spot_rest
BTCUSDT,4h,2026-06-07T12:00:00Z,2026-06-07T15:59:59.999000Z,62621.97000000,62643.97000000,61577.12000000,62093.99000000,4554.13890000,282015239.16010590,947743,binance_spot_rest
BTCUSDT,4h,2026-06-07T16:00:00Z,2026-06-07T19:59:59.999000Z,62093.99000000,62332.00000000,61184.00000000,61328.00000000,2477.20723000,153321370.34257050,627720,binance_spot_rest
BTCUSDT,4h,2026-06-07T20:00:00Z,2026-06-07T23:59:59.999000Z,61327.99000000,64234.68000000,61217.17000000,63332.01000000,6995.30289000,440345071.85990460,1002066,binance_spot_rest
BTCUSDT,4h,2026-06-08T00:00:00Z,2026-06-08T03:59:59.999000Z,63332.01000000,63863.06000000,62720.86000000,63130.12000000,3315.46180000,209776019.13931900,951227,binance_spot_rest
ETHUSDT,4h,2026-06-01T00:00:00Z,2026-06-01T03:59:59.999000Z,2007.02000000,2021.50000000,1991.31000000,2009.09000000,73159.12050000,146998493.27266000,623861,binance_spot_rest
ETHUSDT,4h,2026-06-01T04:00:00Z,2026-06-01T07:59:59.999000Z,2009.09000000,2011.97000000,1971.70000000,1976.43000000,43590.10030000,86756726.95539500,532130,binance_spot_rest
ETHUSDT,4h,2026-06-01T08:00:00Z,2026-06-01T11:59:59.999000Z,1976.42000000,1990.11000000,1969.90000000,1981.44000000,49130.48000000,97327946.08928700,413474,binance_spot_rest
ETHUSDT,4h,2026-06-01T12:00:00Z,2026-06-01T15:59:59.999000Z,1981.44000000,1994.39000000,1956.04000000,1968.45000000,90946.17430000,179439156.82358300,1137706,binance_spot_rest
ETHUSDT,4h,2026-06-01T16:00:00Z,2026-06-01T19:59:59.999000Z,1968.45000000,2008.83000000,1958.79000000,2004.53000000,69908.53780000,138835105.91300100,647022,binance_spot_rest
ETHUSDT,4h,2026-06-01T20:00:00Z,2026-06-01T23:59:59.999000Z,2004.53000000,2009.20000000,1984.50000000,2006.73000000,47693.87100000,95417052.21249900,452029,binance_spot_rest
ETHUSDT,4h,2026-06-02T00:00:00Z,2026-06-02T03:59:59.999000Z,2006.73000000,2006.78000000,1962.76000000,2003.94000000,46692.24070000,92927306.75981200,627682,binance_spot_rest
ETHUSDT,4h,2026-06-02T04:00:00Z,2026-06-02T07:59:59.999000Z,2003.94000000,2006.44000000,1973.88000000,1981.88000000,47532.95200000,94549918.77095800,486606,binance_spot_rest
ETHUSDT,4h,2026-06-02T08:00:00Z,2026-06-02T11:59:59.999000Z,1981.89000000,1989.00000000,1966.69000000,1978.53000000,47617.47420000,94132993.79548300,514773,binance_spot_rest
ETHUSDT,4h,2026-06-02T12:00:00Z,2026-06-02T15:59:59.999000Z,1978.53000000,1982.75000000,1890.00000000,1914.81000000,165219.28520000,319886134.20281100,1505446,binance_spot_rest
ETHUSDT,4h,2026-06-02T16:00:00Z,2026-06-02T19:59:59.999000Z,1914.81000000,1943.87000000,1881.01000000,1912.28000000,96022.40050000,183852998.55166300,1071472,binance_spot_rest
ETHUSDT,4h,2026-06-02T20:00:00Z,2026-06-02T23:59:59.999000Z,1912.28000000,1919.01000000,1839.02000000,1859.84000000,153801.18920000,288458798.04113800,1553332,binance_spot_rest
ETHUSDT,4h,2026-06-03T00:00:00Z,2026-06-03T03:59:59.999000Z,1859.84000000,1874.11000000,1816.92000000,1828.24000000,122790.42310000,227228623.44506000,1081602,binance_spot_rest
ETHUSDT,4h,2026-06-03T04:00:00Z,2026-06-03T07:59:59.999000Z,1828.24000000,1884.41000000,1827.65000000,1878.39000000,90436.65110000,168568807.04992500,846786,binance_spot_rest
ETHUSDT,4h,2026-06-03T08:00:00Z,2026-06-03T11:59:59.999000Z,1878.39000000,1893.07000000,1869.95000000,1878.16000000,53244.03740000,100134416.27330400,558012,binance_spot_rest
ETHUSDT,4h,2026-06-03T12:00:00Z,2026-06-03T15:59:59.999000Z,1878.17000000,1880.00000000,1836.21000000,1837.21000000,78492.25550000,145956494.21277800,1132727,binance_spot_rest
ETHUSDT,4h,2026-06-03T16:00:00Z,2026-06-03T19:59:59.999000Z,1837.22000000,1844.08000000,1795.23000000,1803.41000000,104394.73990000,190129181.87369200,1192028,binance_spot_rest
ETHUSDT,4h,2026-06-03T20:00:00Z,2026-06-03T23:59:59.999000Z,1803.41000000,1852.20000000,1769.62000000,1813.05000000,135402.37480000,245594077.04391400,1685101,binance_spot_rest
ETHUSDT,4h,2026-06-04T00:00:00Z,2026-06-04T03:59:59.999000Z,1813.05000000,1820.50000000,1717.28000000,1809.24000000,200046.05880000,354461508.72909500,2187344,binance_spot_rest
ETHUSDT,4h,2026-06-04T04:00:00Z,2026-06-04T07:59:59.999000Z,1809.24000000,1818.00000000,1773.52000000,1777.45000000,82985.55150000,148757536.10314000,899103,binance_spot_rest
ETHUSDT,4h,2026-06-04T08:00:00Z,2026-06-04T11:59:59.999000Z,1777.44000000,1783.27000000,1730.13000000,1751.51000000,141386.86080000,247769982.62957600,1617070,binance_spot_rest
ETHUSDT,4h,2026-06-04T12:00:00Z,2026-06-04T15:59:59.999000Z,1751.51000000,1794.43000000,1744.29000000,1777.02000000,111504.39670000,197820315.11929700,1685491,binance_spot_rest
ETHUSDT,4h,2026-06-04T16:00:00Z,2026-06-04T19:59:59.999000Z,1777.03000000,1787.11000000,1754.00000000,1776.94000000,60544.57390000,107276269.41658800,914648,binance_spot_rest
ETHUSDT,4h,2026-06-04T20:00:00Z,2026-06-04T23:59:59.999000Z,1776.93000000,1783.02000000,1752.46000000,1770.77000000,51838.66340000,91576081.34352700,919095,binance_spot_rest
ETHUSDT,4h,2026-06-05T00:00:00Z,2026-06-05T03:59:59.999000Z,1770.76000000,1774.99000000,1722.36000000,1729.71000000,88171.19720000,153795260.85530700,1340804,binance_spot_rest
ETHUSDT,4h,2026-06-05T04:00:00Z,2026-06-05T07:59:59.999000Z,1729.72000000,1747.80000000,1625.78000000,1679.21000000,313675.22750000,526181296.88488100,2909975,binance_spot_rest
ETHUSDT,4h,2026-06-05T08:00:00Z,2026-06-05T11:59:59.999000Z,1679.22000000,1690.07000000,1659.43000000,1663.44000000,119418.67030000,199912034.19527400,1355414,binance_spot_rest
ETHUSDT,4h,2026-06-05T12:00:00Z,2026-06-05T15:59:59.999000Z,1663.43000000,1677.70000000,1572.22000000,1583.29000000,304333.02100000,492655229.68144900,3100033,binance_spot_rest
ETHUSDT,4h,2026-06-05T16:00:00Z,2026-06-05T19:59:59.999000Z,1583.29000000,1612.89000000,1540.19000000,1574.06000000,267408.07900000,420934233.61152900,2703286,binance_spot_rest
ETHUSDT,4h,2026-06-05T20:00:00Z,2026-06-05T23:59:59.999000Z,1574.07000000,1619.30000000,1557.36000000,1583.40000000,164006.96580000,261641839.94834200,1608267,binance_spot_rest
ETHUSDT,4h,2026-06-06T00:00:00Z,2026-06-06T03:59:59.999000Z,1583.40000000,1601.22000000,1555.28000000,1563.34000000,68604.39710000,108392813.38509700,970712,binance_spot_rest
ETHUSDT,4h,2026-06-06T04:00:00Z,2026-06-06T07:59:59.999000Z,1563.34000000,1581.62000000,1505.68000000,1575.14000000,182035.79450000,282158181.78938100,1832768,binance_spot_rest
ETHUSDT,4h,2026-06-06T08:00:00Z,2026-06-06T11:59:59.999000Z,1575.14000000,1593.04000000,1535.68000000,1558.89000000,96734.73010000,151232845.75740900,1207407,binance_spot_rest
ETHUSDT,4h,2026-06-06T12:00:00Z,2026-06-06T15:59:59.999000Z,1558.90000000,1575.82000000,1544.87000000,1560.45000000,107947.68890000,168457360.14315000,1044134,binance_spot_rest
ETHUSDT,4h,2026-06-06T16:00:00Z,2026-06-06T19:59:59.999000Z,1560.45000000,1566.51000000,1547.05000000,1554.56000000,60854.91470000,94780037.04585700,697415,binance_spot_rest
ETHUSDT,4h,2026-06-06T20:00:00Z,2026-06-06T23:59:59.999000Z,1554.55000000,1570.06000000,1550.85000000,1569.69000000,42280.84190000,65925172.97935800,502517,binance_spot_rest
ETHUSDT,4h,2026-06-07T00:00:00Z,2026-06-07T03:59:59.999000Z,1569.68000000,1600.51000000,1564.10000000,1595.01000000,56783.11700000,90080174.63561200,722274,binance_spot_rest
ETHUSDT,4h,2026-06-07T04:00:00Z,2026-06-07T07:59:59.999000Z,1595.00000000,1623.52000000,1585.00000000,1615.18000000,88472.20630000,142242225.77672900,708710,binance_spot_rest
ETHUSDT,4h,2026-06-07T08:00:00Z,2026-06-07T11:59:59.999000Z,1615.18000000,1648.70000000,1608.39000000,1630.12000000,79805.29250000,130159942.92975100,771237,binance_spot_rest
ETHUSDT,4h,2026-06-07T12:00:00Z,2026-06-07T15:59:59.999000Z,1630.12000000,1640.00000000,1607.00000000,1630.07000000,73035.78970000,118475715.21903000,1007911,binance_spot_rest
ETHUSDT,4h,2026-06-07T16:00:00Z,2026-06-07T19:59:59.999000Z,1630.07000000,1638.00000000,1604.00000000,1613.11000000,60204.44640000,97813298.62915600,738766,binance_spot_rest
ETHUSDT,4h,2026-06-07T20:00:00Z,2026-06-07T23:59:59.999000Z,1613.10000000,1721.93000000,1609.43000000,1690.51000000,99979.73900000,166904844.69374500,1146777,binance_spot_rest
ETHUSDT,4h,2026-06-08T00:00:00Z,2026-06-08T03:59:59.999000Z,1690.50000000,1711.58000000,1670.94000000,1680.01000000,74470.03850000,125771365.85110800,1082664,binance_spot_rest
SOLUSDT,4h,2026-06-01T00:00:00Z,2026-06-01T03:59:59.999000Z,82.45000000,83.10000000,81.63000000,82.63000000,291707.82300000,24097297.07910000,107987,binance_spot_rest
SOLUSDT,4h,2026-06-01T04:00:00Z,2026-06-01T07:59:59.999000Z,82.63000000,82.78000000,80.63000000,80.74000000,249279.41800000,20341075.78318000,96377,binance_spot_rest
SOLUSDT,4h,2026-06-01T08:00:00Z,2026-06-01T11:59:59.999000Z,80.74000000,81.29000000,80.46000000,80.81000000,313381.51400000,25372565.67401000,84086,binance_spot_rest
SOLUSDT,4h,2026-06-01T12:00:00Z,2026-06-01T15:59:59.999000Z,80.82000000,81.07000000,79.20000000,79.60000000,720264.87400000,57662901.24544000,203756,binance_spot_rest
SOLUSDT,4h,2026-06-01T16:00:00Z,2026-06-01T19:59:59.999000Z,79.61000000,81.31000000,79.11000000,81.20000000,359132.58200000,28897802.93528000,111419,binance_spot_rest
SOLUSDT,4h,2026-06-01T20:00:00Z,2026-06-01T23:59:59.999000Z,81.19000000,81.65000000,80.32000000,81.28000000,375381.18500000,30417452.16470000,98082,binance_spot_rest
SOLUSDT,4h,2026-06-02T00:00:00Z,2026-06-02T03:59:59.999000Z,81.28000000,81.30000000,79.41000000,80.92000000,306484.20700000,24664306.75046000,117676,binance_spot_rest
SOLUSDT,4h,2026-06-02T04:00:00Z,2026-06-02T07:59:59.999000Z,80.92000000,81.02000000,79.16000000,79.67000000,332672.34500000,26586549.75083000,113602,binance_spot_rest
SOLUSDT,4h,2026-06-02T08:00:00Z,2026-06-02T11:59:59.999000Z,79.67000000,79.80000000,78.78000000,78.94000000,320665.06700000,25408569.32479000,104088,binance_spot_rest
SOLUSDT,4h,2026-06-02T12:00:00Z,2026-06-02T15:59:59.999000Z,78.93000000,79.22000000,75.58000000,76.38000000,1014165.41400000,78513893.30251000,313753,binance_spot_rest
SOLUSDT,4h,2026-06-02T16:00:00Z,2026-06-02T19:59:59.999000Z,76.38000000,77.67000000,74.50000000,75.53000000,828350.48200000,63098815.20638000,225546,binance_spot_rest
SOLUSDT,4h,2026-06-02T20:00:00Z,2026-06-02T23:59:59.999000Z,75.53000000,76.08000000,72.73000000,74.23000000,840199.40200000,62470643.30314000,275942,binance_spot_rest
SOLUSDT,4h,2026-06-03T00:00:00Z,2026-06-03T03:59:59.999000Z,74.23000000,75.13000000,72.28000000,72.71000000,647760.18700000,48008935.79656000,191228,binance_spot_rest
SOLUSDT,4h,2026-06-03T04:00:00Z,2026-06-03T07:59:59.999000Z,72.71000000,75.40000000,72.69000000,75.27000000,568926.46900000,42411227.18305000,149644,binance_spot_rest
SOLUSDT,4h,2026-06-03T08:00:00Z,2026-06-03T11:59:59.999000Z,75.26000000,75.71000000,74.73000000,75.12000000,405011.40400000,30455941.83775000,97733,binance_spot_rest
SOLUSDT,4h,2026-06-03T12:00:00Z,2026-06-03T15:59:59.999000Z,75.12000000,75.37000000,73.24000000,73.31000000,498929.08100000,37131327.33903000,199687,binance_spot_rest
SOLUSDT,4h,2026-06-03T16:00:00Z,2026-06-03T19:59:59.999000Z,73.31000000,74.10000000,71.71000000,71.99000000,746595.47900000,54262581.92633000,303152,binance_spot_rest
SOLUSDT,4h,2026-06-03T20:00:00Z,2026-06-03T23:59:59.999000Z,71.99000000,73.18000000,70.93000000,71.61000000,788023.06000000,56576265.48574000,320127,binance_spot_rest
SOLUSDT,4h,2026-06-04T00:00:00Z,2026-06-04T03:59:59.999000Z,71.61000000,72.09000000,66.80000000,71.48000000,1732539.98300000,120646275.07731000,589588,binance_spot_rest
SOLUSDT,4h,2026-06-04T04:00:00Z,2026-06-04T07:59:59.999000Z,71.49000000,71.80000000,69.14000000,69.15000000,523677.62600000,36924905.73091000,201194,binance_spot_rest
SOLUSDT,4h,2026-06-04T08:00:00Z,2026-06-04T11:59:59.999000Z,69.16000000,69.44000000,67.37000000,68.70000000,839513.76900000,57404498.62514000,309457,binance_spot_rest
SOLUSDT,4h,2026-06-04T12:00:00Z,2026-06-04T15:59:59.999000Z,68.69000000,70.64000000,68.32000000,69.64000000,963759.22100000,67276495.51988000,364408,binance_spot_rest
SOLUSDT,4h,2026-06-04T16:00:00Z,2026-06-04T19:59:59.999000Z,69.64000000,69.89000000,68.48000000,69.10000000,425259.15900000,29476531.98829000,215070,binance_spot_rest
SOLUSDT,4h,2026-06-04T20:00:00Z,2026-06-04T23:59:59.999000Z,69.09000000,69.15000000,67.57000000,68.88000000,443499.73200000,30294316.23392000,220032,binance_spot_rest
SOLUSDT,4h,2026-06-05T00:00:00Z,2026-06-05T03:59:59.999000Z,68.87000000,69.10000000,66.94000000,67.09000000,676499.59200000,45939019.80059000,280090,binance_spot_rest
SOLUSDT,4h,2026-06-05T04:00:00Z,2026-06-05T07:59:59.999000Z,67.10000000,68.10000000,63.87000000,66.18000000,1622506.68600000,106710177.13556000,578878,binance_spot_rest
SOLUSDT,4h,2026-06-05T08:00:00Z,2026-06-05T11:59:59.999000Z,66.18000000,66.80000000,65.10000000,66.08000000,646020.12500000,42695722.65657000,270287,binance_spot_rest
SOLUSDT,4h,2026-06-05T12:00:00Z,2026-06-05T15:59:59.999000Z,66.08000000,66.83000000,63.78000000,64.24000000,1471617.66000000,95827239.18690000,601263,binance_spot_rest
SOLUSDT,4h,2026-06-05T16:00:00Z,2026-06-05T19:59:59.999000Z,64.25000000,66.06000000,61.48000000,63.44000000,1744865.40600000,111520136.08373000,605441,binance_spot_rest
SOLUSDT,4h,2026-06-05T20:00:00Z,2026-06-05T23:59:59.999000Z,63.44000000,65.42000000,62.64000000,63.64000000,880084.01900000,56509005.38432000,360779,binance_spot_rest
SOLUSDT,4h,2026-06-06T00:00:00Z,2026-06-06T03:59:59.999000Z,63.64000000,64.86000000,62.58000000,62.84000000,483893.66000000,30861525.07007000,234180,binance_spot_rest
SOLUSDT,4h,2026-06-06T04:00:00Z,2026-06-06T07:59:59.999000Z,62.84000000,63.35000000,60.13000000,62.78000000,994852.17300000,61521627.31632000,405285,binance_spot_rest
SOLUSDT,4h,2026-06-06T08:00:00Z,2026-06-06T11:59:59.999000Z,62.79000000,63.60000000,61.20000000,62.46000000,562710.60200000,35091734.36170000,212005,binance_spot_rest
SOLUSDT,4h,2026-06-06T12:00:00Z,2026-06-06T15:59:59.999000Z,62.46000000,63.11000000,61.32000000,62.03000000,673721.75000000,41966556.95973000,219410,binance_spot_rest
SOLUSDT,4h,2026-06-06T16:00:00Z,2026-06-06T19:59:59.999000Z,62.04000000,62.40000000,61.38000000,61.64000000,495457.26100000,30635368.92641000,174220,binance_spot_rest
SOLUSDT,4h,2026-06-06T20:00:00Z,2026-06-06T23:59:59.999000Z,61.64000000,62.38000000,61.38000000,62.20000000,360205.61000000,22260428.18427000,119594,binance_spot_rest
SOLUSDT,4h,2026-06-07T00:00:00Z,2026-06-07T03:59:59.999000Z,62.21000000,64.15000000,61.96000000,63.84000000,542641.24000000,34341593.83552000,173962,binance_spot_rest
SOLUSDT,4h,2026-06-07T04:00:00Z,2026-06-07T07:59:59.999000Z,63.84000000,65.02000000,63.31000000,64.93000000,514837.95000000,33168040.91919000,148747,binance_spot_rest
SOLUSDT,4h,2026-06-07T08:00:00Z,2026-06-07T11:59:59.999000Z,64.92000000,66.11000000,64.46000000,65.04000000,482584.63200000,31441906.51557000,152043,binance_spot_rest
SOLUSDT,4h,2026-06-07T12:00:00Z,2026-06-07T15:59:59.999000Z,65.05000000,65.35000000,63.67000000,64.99000000,461401.84700000,29754162.18201000,183501,binance_spot_rest
SOLUSDT,4h,2026-06-07T16:00:00Z,2026-06-07T19:59:59.999000Z,64.99000000,65.62000000,63.64000000,63.95000000,320474.20200000,20735289.80187000,164792,binance_spot_rest
SOLUSDT,4h,2026-06-07T20:00:00Z,2026-06-07T23:59:59.999000Z,63.94000000,67.92000000,63.75000000,66.50000000,619631.50200000,40815052.59498000,263900,binance_spot_rest
SOLUSDT,4h,2026-06-08T00:00:00Z,2026-06-08T03:59:59.999000Z,66.50000000,67.11000000,65.40000000,66.37000000,492224.10500000,32639536.68044000,182675,binance_spot_rest
