dt,total_value,cash
2025-06-03T15:00:00+08:00,100000.0,100000.0
2025-06-04T15:00:00+08:00,100000.0,100000.0
2025-06-05T15:00:00+08:00,100000.0,100000.0
2025-06-06T15:00:00+08:00,100000.0,100000.0
2025-06-09T15:00:00+08:00,100000.0,100000.0
2025-06-10T15:00:00+08:00,100000.0,100000.0
2025-06-11T15:00:00+08:00,100000.0,100000.0
2025-06-12T15:00:00+08:00,100000.0,100000.0
2025-06-13T15:00:00+08:00,100000.0,100000.0
2025-06-16T15:00:00+08:00,100000.0,100000.0
2025-06-17T15:00:00+08:00,100000.0,100000.0
2025-06-18T15:00:00+08:00,100000.0,100000.0
2025-06-19T15:00:00+08:00,100000.0,100000.0
2025-06-20T15:00:00+08:00,100000.0,100000.0
2025-06-23T15:00:00+08:00,100000.0,100000.0
2025-06-24T15:00:00+08:00,100000.0,100000.0
2025-06-25T15:00:00+08:00,100000.0,100000.0
2025-06-26T15:00:00+08:00,100000.0,100000.0
2025-06-27T15:00:00+08:00,100000.0,100000.0
2025-06-30T15:00:00+08:00,100000.0,100000.0
2025-07-01T15:00:00+08:00,100000.0,100000.0
2025-07-02T15:00:00+08:00,100000.0,100000.0
2025-07-03T15:00:00+08:00,100000.0,100000.0
2025-07-04T15:00:00+08:00,100000.0,100000.0
2025-07-07T15:00:00+08:00,100000.0,100000.0
2025-07-08T15:00:00+08:00,100000.0,100000.0
2025-07-09T15:00:00+08:00,100000.0,100000.0
2025-07-10T15:00:00+08:00,100000.0,100000.0
2025-07-11T15:00:00+08:00,100000.0,100000.0
2025-07-14T15:00:00+08:00,100000.0,100000.0
2025-07-15T15:00:00+08:00,100000.0,100000.0
2025-07-16T15:00:00+08:00,100000.0,100000.0
2025-07-17T15:00:00+08:00,100000.0,100000.0
2025-07-18T15:00:00+08:00,100000.0,100000.0
2025-07-21T15:00:00+08:00,100000.0,100000.0
2025-07-22T15:00:00+08:00,100000.0,100000.0
2025-07-23T15:00:00+08:00,100000.0,100000.0
2025-07-24T15:00:00+08:00,100000.0,100000.0
2025-07-25T15:00:00+08:00,100000.0,100000.0
2025-07-28T15:00:00+08:00,100000.0,100000.0
2025-07-29T15:00:00+08:00,100000.0,100000.0
2025-07-30T15:00:00+08:00,100000.0,100000.0
2025-07-31T15:00:00+08:00,100000.0,100000.0
2025-08-01T15:00:00+08:00,100000.0,100000.0
2025-08-04T15:00:00+08:00,100000.0,100000.0
2025-08-05T15:00:00+08:00,100000.0,100000.0
2025-08-06T15:00:00+08:00,100000.0,100000.0
2025-08-07T15:00:00+08:00,100000.0,100000.0
2025-08-08T15:00:00+08:00,100000.0,100000.0
2025-08-11T15:00:00+08:00,100000.0,100000.0
2025-08-12T15:00:00+08:00,100000.0,100000.0
2025-08-13T15:00:00+08:00,100000.0,100000.0
2025-08-14T15:00:00+08:00,100000.0,100000.0
2025-08-15T15:00:00+08:00,100000.0,100000.0
2025-08-18T15:00:00+08:00,100000.0,100000.0
2025-08-19T15:00:00+08:00,100000.0,100000.0
2025-08-20T15:00:00+08:00,100000.0,100000.0
2025-08-21T15:00:00+08:00,100000.0,100000.0
2025-08-22T15:00:00+08:00,100000.0,100000.0
2025-08-25T15:00:00+08:00,100000.0,100000.0
2025-08-26T15:00:00+08:00,100000.0,100000.0
2025-08-27T15:00:00+08:00,99052.38,29522.38
2025-08-28T15:00:00+08:00,100562.38,29522.38
2025-08-29T15:00:00+08:00,100932.38,29522.38
2025-09-01T15:00:00+08:00,101582.38,29522.38
2025-09-02T15:00:00+08:00,100072.38,29522.38
2025-09-03T15:00:00+08:00,98922.38,29522.38
2025-09-04T15:00:00+08:00,97312.38,29522.38
2025-09-05T15:00:00+08:00,99632.38,29522.38
2025-09-08T15:00:00+08:00,100252.38,29522.38
2025-09-09T15:00:00+08:00,99582.38,29522.38
2025-09-10T15:00:00+08:00,99552.38,29522.38
2025-09-11T15:00:00+08:00,101762.38,29522.38
2025-09-12T15:00:00+08:00,101942.38,29522.38
2025-09-15T15:00:00+08:00,101782.38,29522.38
2025-09-16T15:00:00+08:00,102342.38,29522.38
2025-09-17T15:00:00+08:00,103092.38,29522.38
2025-09-18T15:00:00+08:00,102442.38,29522.38
2025-09-19T15:00:00+08:00,102132.38,29522.38
2025-09-22T15:00:00+08:00,102702.38,29522.38
2025-09-23T15:00:00+08:00,102292.38,29522.38
2025-09-24T15:00:00+08:00,103842.38,29522.38
2025-09-25T15:00:00+08:00,103932.38,29522.38
2025-09-26T15:00:00+08:00,102882.38,29522.38
2025-09-29T15:00:00+08:00,104142.38,29522.38
2025-09-30T15:00:00+08:00,104712.38,29522.38
2025-10-09T15:00:00+08:00,106012.38,29522.38
2025-10-10T15:00:00+08:00,104572.38,29522.38
2025-10-13T15:00:00+08:00,104212.38,29522.38
2025-10-14T15:00:00+08:00,102412.38,29522.38
2025-10-15T15:00:00+08:00,103452.38,29522.38
2025-10-16T15:00:00+08:00,102882.38,29522.38
2025-10-17T15:00:00+08:00,100662.38,29522.38
2025-10-20T15:00:00+08:00,101122.38,29522.38
2025-10-21T15:00:00+08:00,102322.38,29522.38
2025-10-22T15:00:00+08:00,101762.38,29522.38
2025-10-23T15:00:00+08:00,102012.38,29522.38
2025-10-24T15:00:00+08:00,103212.38,29522.38
2025-10-27T15:00:00+08:00,104302.38,29522.38
2025-10-28T15:00:00+08:00,103932.38,29522.38
2025-10-29T15:00:00+08:00,105462.38,29522.38
2025-10-30T15:00:00+08:00,104492.38,29522.38
2025-10-31T15:00:00+08:00,103882.38,29522.38
2025-11-03T15:00:00+08:00,103912.38,29522.38
2025-11-04T15:00:00+08:00,102652.38,29522.38
2025-11-05T15:00:00+08:00,102822.38,29522.38
2025-11-06T15:00:00+08:00,104032.38,29522.38
2025-11-07T15:00:00+08:00,103922.38,29522.38
2025-11-10T15:00:00+08:00,104002.38,29522.38
2025-11-11T15:00:00+08:00,103462.38,29522.38
2025-11-12T15:00:00+08:00,103082.38,29522.38
2025-11-13T15:00:00+08:00,104172.38,29522.38
2025-11-14T15:00:00+08:00,102902.38,29522.38
2025-11-17T15:00:00+08:00,102882.38,29522.38
2025-11-18T15:00:00+08:00,102142.38,29522.38
2025-11-19T15:00:00+08:00,101792.38,29522.38
2025-11-20T15:00:00+08:00,101222.38,29522.38
2025-11-21T15:00:00+08:00,98742.38,29522.38
2025-11-24T15:00:00+08:00,99222.38,29522.38
2025-11-25T15:00:00+08:00,100062.38,29522.38
2025-11-26T15:00:00+08:00,100172.38,29522.38
2025-11-27T15:00:00+08:00,100022.38,29522.38
2025-11-28T15:00:00+08:00,100004.76,100004.76
2025-12-01T15:00:00+08:00,100004.76,100004.76
2025-12-02T15:00:00+08:00,100004.76,100004.76
2025-12-03T15:00:00+08:00,100004.76,100004.76
2025-12-04T15:00:00+08:00,100004.76,100004.76
2025-12-05T15:00:00+08:00,100004.76,100004.76
2025-12-08T15:00:00+08:00,100004.76,100004.76
2025-12-09T15:00:00+08:00,100004.76,100004.76
2025-12-10T15:00:00+08:00,100004.76,100004.76
2025-12-11T15:00:00+08:00,100004.76,100004.76
2025-12-12T15:00:00+08:00,100004.76,100004.76
2025-12-15T15:00:00+08:00,100004.76,100004.76
2025-12-16T15:00:00+08:00,100004.76,100004.76
2025-12-17T15:00:00+08:00,100004.76,100004.76
2025-12-18T15:00:00+08:00,100004.76,100004.76
2025-12-19T15:00:00+08:00,100004.76,100004.76
2025-12-22T15:00:00+08:00,100004.76,100004.76
2025-12-23T15:00:00+08:00,100004.76,100004.76
2025-12-24T15:00:00+08:00,100004.76,100004.76
2025-12-25T15:00:00+08:00,100004.76,100004.76
2025-12-26T15:00:00+08:00,100004.76,100004.76
2025-12-29T15:00:00+08:00,100004.76,100004.76
2025-12-30T15:00:00+08:00,100004.76,100004.76
2025-12-31T15:00:00+08:00,100055.81,24175.81
2026-01-05T15:00:00+08:00,102095.81,24175.81
2026-01-06T15:00:00+08:00,103785.81,24175.81
2026-01-07T15:00:00+08:00,104165.81,24175.81
2026-01-08T15:00:00+08:00,104415.81,24175.81
2026-01-09T15:00:00+08:00,106335.81,24175.81
2026-01-12T15:00:00+08:00,108335.81,24175.81
2026-01-13T15:00:00+08:00,107235.81,24175.81
2026-01-14T15:00:00+08:00,107825.81,24175.81
2026-01-15T15:00:00+08:00,107565.81,24175.81
2026-01-16T15:00:00+08:00,107125.81,24175.81
2026-01-19T15:00:00+08:00,107655.81,24175.81
2026-01-20T15:00:00+08:00,107415.81,24175.81
2026-01-21T15:00:00+08:00,108495.81,24175.81
2026-01-22T15:00:00+08:00,108865.81,24175.81
2026-01-23T15:00:00+08:00,111365.81,24175.81
2026-01-26T15:00:00+08:00,109815.81,24175.81
2026-01-27T15:00:00+08:00,110365.81,24175.81
2026-01-28T15:00:00+08:00,111085.81,24175.81
2026-01-29T15:00:00+08:00,110085.81,24175.81
2026-01-30T15:00:00+08:00,108575.81,24175.81
2026-02-02T15:00:00+08:00,104665.81,24175.81
2026-02-03T15:00:00+08:00,107835.81,24175.81
2026-02-04T15:00:00+08:00,108055.81,24175.81
2026-02-05T15:00:00+08:00,106345.81,24175.81
2026-02-06T15:00:00+08:00,106305.81,24175.81
2026-02-09T15:00:00+08:00,108125.81,24175.81
2026-02-10T15:00:00+08:00,107945.81,24175.81
2026-02-11T15:00:00+08:00,108285.81,24175.81
2026-02-12T15:00:00+08:00,109315.81,24175.81
2026-02-13T15:00:00+08:00,107905.81,24175.81
2026-02-24T15:00:00+08:00,108865.81,24175.81
2026-02-25T15:00:00+08:00,110195.81,24175.81
2026-02-26T15:00:00+08:00,110475.81,24175.81
2026-02-27T15:00:00+08:00,111545.81,24175.81
2026-03-02T15:00:00+08:00,111505.81,24175.81
2026-03-03T15:00:00+08:00,107925.81,24175.81
2026-03-04T15:00:00+08:00,107345.81,24175.81
2026-03-05T15:00:00+08:00,107885.81,24175.81
2026-03-06T15:00:00+08:00,108385.81,24175.81
2026-03-09T15:00:00+08:00,107735.81,24175.81
2026-03-10T15:00:00+08:00,108985.81,24175.81
2026-03-11T15:00:00+08:00,108855.81,24175.81
2026-03-12T15:00:00+08:00,108435.81,24175.81
2026-03-13T15:00:00+08:00,107285.81,24175.81
2026-03-16T15:00:00+08:00,106765.81,24175.81
2026-03-17T15:00:00+08:00,104955.81,24175.81
2026-03-18T15:00:00+08:00,105735.81,24175.81
2026-03-19T15:00:00+08:00,103625.81,24175.81
2026-03-20T15:00:00+08:00,102295.81,24175.81
2026-03-23T15:00:00+08:00,99295.81,24175.81
2026-03-24T15:00:00+08:00,100695.81,24175.81
2026-03-25T15:00:00+08:00,102435.81,24175.81
2026-03-26T15:00:00+08:00,101175.81,24175.81
2026-03-27T15:00:00+08:00,102205.81,24175.81
2026-03-30T15:00:00+08:00,102186.3,102186.3
2026-03-31T15:00:00+08:00,102186.3,102186.3
2026-04-01T15:00:00+08:00,102186.3,102186.3
2026-04-02T15:00:00+08:00,102186.3,102186.3
2026-04-03T15:00:00+08:00,102186.3,102186.3
2026-04-07T15:00:00+08:00,102186.3,102186.3
2026-04-08T15:00:00+08:00,102186.3,102186.3
2026-04-09T15:00:00+08:00,102186.3,102186.3
2026-04-10T15:00:00+08:00,102186.3,102186.3
2026-04-13T15:00:00+08:00,102186.3,102186.3
2026-04-14T15:00:00+08:00,102186.3,102186.3
2026-04-15T15:00:00+08:00,102186.3,102186.3
2026-04-16T15:00:00+08:00,102186.3,102186.3
2026-04-17T15:00:00+08:00,102186.3,102186.3
2026-04-20T15:00:00+08:00,102186.3,102186.3
2026-04-21T15:00:00+08:00,102186.3,102186.3
2026-04-22T15:00:00+08:00,102186.3,102186.3
2026-04-23T15:00:00+08:00,102186.3,102186.3
2026-04-24T15:00:00+08:00,102186.3,102186.3
2026-04-27T15:00:00+08:00,102186.3,102186.3
2026-04-28T15:00:00+08:00,102186.3,102186.3
2026-04-29T15:00:00+08:00,102186.3,102186.3
2026-04-30T15:00:00+08:00,102186.3,102186.3
2026-05-06T15:00:00+08:00,102186.3,102186.3
2026-05-07T15:00:00+08:00,102186.3,102186.3
2026-05-08T15:00:00+08:00,102704.51,15014.51
2026-05-11T15:00:00+08:00,104134.51,15014.51
2026-05-12T15:00:00+08:00,103634.51,15014.51
2026-05-13T15:00:00+08:00,105104.51,15014.51
2026-05-14T15:00:00+08:00,102734.51,15014.51
2026-05-15T15:00:00+08:00,101134.51,15014.51
2026-05-18T15:00:00+08:00,101324.51,15014.51
2026-05-19T15:00:00+08:00,102044.51,15014.51
2026-05-20T15:00:00+08:00,102494.51,15014.51
2026-05-21T15:00:00+08:00,100044.51,15014.51
2026-05-22T15:00:00+08:00,101594.51,15014.51
2026-05-25T15:00:00+08:00,102874.51,15014.51
2026-05-26T15:00:00+08:00,102534.51,15014.51
2026-05-27T15:00:00+08:00,101154.51,15014.51
2026-05-28T15:00:00+08:00,101504.51,15014.51
2026-05-29T15:00:00+08:00,99444.51,15014.51
2026-06-01T15:00:00+08:00,98714.51,15014.51
2026-06-02T15:00:00+08:00,99074.51,15014.51
2026-06-03T15:00:00+08:00,99564.51,15014.51
2026-06-04T15:00:00+08:00,99494.51,15014.51
2026-06-05T15:00:00+08:00,98404.51,15014.51
2026-06-08T15:00:00+08:00,95694.51,15014.51
2026-06-09T15:00:00+08:00,97714.51,15014.51
2026-06-10T15:00:00+08:00,96724.51,15014.51
2026-06-11T15:00:00+08:00,96344.51,15014.51
2026-06-12T15:00:00+08:00,97434.51,15014.51
2026-06-15T15:00:00+08:00,100454.51,15014.51
2026-06-16T15:00:00+08:00,101334.51,15014.51
2026-06-17T15:00:00+08:00,102644.51,15014.51
2026-06-18T15:00:00+08:00,103294.51,15014.51
2026-06-22T15:00:00+08:00,105084.51,15014.51
2026-06-23T15:00:00+08:00,103164.51,15014.51
2026-06-24T15:00:00+08:00,104864.51,15014.51
2026-06-25T15:00:00+08:00,105864.51,15014.51
